//X,Y,Z,R,G,B
2.24211240,3.15965009,-0.90736425,0,255,0
2.20950103,3.19466043,-0.87313622,0,255,0
2.19718432,3.27172160,-0.86032116,0,255,0
2.87952089,3.18126535,-0.90687519,0,255,0
2.73520637,2.99483037,-0.82387006,0,255,0
2.87455106,2.97816396,-0.83297855,0,255,0
-1.95389438,2.64572835,-0.91359013,255,0,0
-1.95011210,2.70575237,-0.87971365,255,0,0
-2.08789706,2.64982939,-0.88186276,255,0,0
2.20396876,2.86658263,-0.85731119,0,0,0
2.75966382,2.78050518,-0.82362378,0,0,0
3.21243668,2.88070154,-0.86898541,0,0,0
3.30491114,3.07494330,-0.87310839,0,0,0
3.33561468,3.26906872,-0.89325607,0,0,0
3.52351022,3.13305879,-0.83769715,0,0,0
2.20396876,2.86658263,-0.85731119,0,0,0
3.31103086,3.08641243,-0.92250407,0,0,0
3.21243668,2.88070154,-0.86898541,0,0,0
2.75966382,2.78050518,-0.82362378,0,0,0
3.33561468,3.26906872,-0.89325607,0,0,0
3.30491114,3.07494330,-0.87310839,0,0,0
3.52351022,3.13305879,-0.83769715,0,0,0
