//X,Y,Z,R,G,B
-1.02395678,0.93757945,-0.34621847,255,0,0
-0.97411162,0.90451068,-0.31999183,255,0,0
-1.02090049,0.98024029,-0.34395474,255,0,0
-1.02254450,1.02391136,-0.34793103,255,0,0
-1.01279366,1.06520200,-0.33673534,255,0,0
-1.01307023,1.10903132,-0.33886686,255,0,0
-0.81159949,0.90805697,-0.34239203,255,0,0
-0.80586493,0.90517902,-0.33667779,255,0,0
-0.82694769,0.93993634,-0.35573614,255,0,0
-1.33070529,1.25732541,-0.33829051,255,0,0
-0.81089967,0.92510921,-0.35490489,255,0,0
-0.81257790,0.94498861,-0.33991963,255,0,0
-1.01791966,1.15494490,-0.34709215,255,0,0
-0.80877173,0.96263623,-0.34684077,255,0,0
-0.83148181,0.99376172,-0.35319635,255,0,0
-0.81411320,0.98420054,-0.33458123,255,0,0
-0.82327574,0.99063939,-0.35702720,255,0,0
-1.12051463,1.22351372,-0.36285180,255,0,0
-0.80054194,0.97177958,-0.34912688,255,0,0
-0.77529573,0.94737053,-0.37160093,255,0,0
-0.81976742,1.02451301,-0.33596745,255,0,0
-0.82345372,1.02948046,-0.33935073,255,0,0
-0.76869971,0.95381987,-0.35696727,255,0,0
-1.01148653,1.19745517,-0.34023392,255,0,0
-0.79923582,1.01001298,-0.33587140,255,0,0
-0.73148608,0.91881949,-0.34673804,255,0,0
-0.81021738,1.02767015,-0.37019026,255,0,0
-0.82355320,1.04558146,-0.36495546,255,0,0
-0.82902735,1.06643462,-0.34311485,255,0,0
-0.82163465,1.06854880,-0.34096980,255,0,0
-0.76182604,0.98921072,-0.35826182,255,0,0
-0.73291761,0.96233135,-0.35636938,255,0,0
-0.75766677,1.00404727,-0.34626430,255,0,0
-0.79502857,1.06547475,-0.33731061,255,0,0
-0.82424825,1.10422266,-0.32751629,255,0,0
-0.81027991,1.09024882,-0.35028848,255,0,0
-0.79820967,1.07461131,-0.36226815,255,0,0
-0.81940800,1.10785508,-0.34158629,255,0,0
-0.75703210,1.03489244,-0.35880655,255,0,0
-0.72232389,1.00076663,-0.34227529,255,0,0
-0.83756500,1.14897907,-0.34098303,255,0,0
-0.68863142,0.96565282,-0.35102925,255,0,0
-0.75318295,1.06218743,-0.34738508,255,0,0
-0.81642008,1.14709544,-0.34029251,255,0,0
-0.79343337,1.12657988,-0.34504464,255,0,0
-0.68293709,0.98504788,-0.35000432,255,0,0
-0.64323115,0.90588933,-0.37264168,255,0,0
-0.72309113,1.04514980,-0.35069510,255,0,0
-0.79506731,1.12652731,-0.36632758,255,0,0
-0.74702567,1.07822037,-0.35092360,255,0,0
-0.81254429,1.14959073,-0.36170182,255,0,0
-0.84510165,1.19251537,-0.34502202,255,0,0
-0.69036114,1.02024639,-0.35138151,255,0,0
-0.68813485,1.02451503,-0.35877496,255,0,0
-0.64459759,0.95584011,-0.38382742,255,0,0
-0.81966382,1.19213247,-0.35486376,255,0,0
-0.72324002,1.09017849,-0.35798177,255,0,0
-0.75192475,1.12586772,-0.35449094,255,0,0
-0.74937606,1.12912250,-0.36318460,255,0,0
-0.69332707,1.06488621,-0.36738044,255,0,0
-0.78468353,1.17855334,-0.33604091,255,0,0
-0.83912235,1.23009861,-0.32757387,255,0,0
-0.79154164,1.17921805,-0.36995739,255,0,0
-0.69444114,1.08040118,-0.35824397,255,0,0
-0.81011522,1.20635641,-0.36533517,255,0,0
-0.64229745,1.00387394,-0.38675669,255,0,0
-0.59003824,0.92261451,-0.35350144,255,0,0
-0.64078701,1.01197088,-0.36795259,255,0,0
-0.71893686,1.13314617,-0.35640752,255,0,0
-0.69309217,1.10148668,-0.35818323,255,0,0
-0.81614012,1.23239195,-0.35227996,255,0,0
-0.74690503,1.17832434,-0.36771175,255,0,0
-0.74180621,1.18055630,-0.34551585,255,0,0
-0.59098727,0.97067714,-0.36576429,255,0,0
-0.63277555,1.04558992,-0.37308151,255,0,0
-0.62904060,1.05481565,-0.32045588,255,0,0
-0.69750375,1.14103472,-0.36237568,255,0,0
-0.63866436,1.06571198,-0.35942429,255,0,0
-0.69511187,1.14030504,-0.35634577,255,0,0
-0.71367681,1.17591465,-0.35290945,255,0,0
-0.63741910,1.09471345,-0.32875043,255,0,0
-0.58295000,1.01073050,-0.35372901,255,0,0
-0.62901902,1.09368110,-0.37269029,255,0,0
-0.70163846,1.18438113,-0.36895871,255,0,0
-0.73927647,1.22483969,-0.36381441,255,0,0
-0.54215449,0.96476942,-0.35136050,255,0,0
-0.80679762,1.28473437,-0.40092021,255,0,0
-0.64159405,1.13339770,-0.32804137,255,0,0
-0.64216214,1.12828755,-0.36259529,255,0,0
-0.69721448,1.19768858,-0.35745832,255,0,0
-0.74167722,1.24996543,-0.35498619,255,0,0
-0.71203351,1.22218215,-0.35675988,255,0,0
-0.58317506,1.06034887,-0.36428118,255,0,0
-0.54160309,1.00803876,-0.34411427,255,0,0
-0.70554924,1.22686672,-0.37301886,255,0,0
-0.64533252,1.17232716,-0.32634854,255,0,0
-0.62503064,1.14253926,-0.37180653,255,0,0
-0.54659110,1.05843425,-0.35114479,255,0,0
-0.57716882,1.10379720,-0.35780686,255,0,0
-0.64509016,1.19227266,-0.36462712,255,0,0
-0.67427588,1.22776067,-0.37655836,255,0,0
-0.69909841,1.26039219,-0.35856971,255,0,0
-0.70656782,1.26677990,-0.36780635,255,0,0
-0.62639362,1.19936204,-0.38354248,255,0,0
-0.54770720,1.10548913,-0.34820578,255,0,0
-0.57873678,1.15805984,-0.37241524,255,0,0
-0.43423882,0.91855675,-0.33675465,255,0,0
-0.64339685,1.25156403,-0.35721350,255,0,0
-0.55157369,1.15729332,-0.35229021,255,0,0
-0.62109530,1.24925721,-0.37973580,255,0,0
-0.44231945,0.98388314,-0.37492275,255,0,0
-0.56633973,1.19414043,-0.34812140,255,0,0
-0.55451190,1.20937979,-0.35398030,255,0,0
-0.43786287,1.03183305,-0.37215081,255,0,0
