//X,Y,Z,R,G,B
0.36603773,0.83766079,-0.15322010,255,0,0
0.03541084,0.47274947,-0.15256052,255,0,0
-0.10951667,0.43312255,-0.16640037,255,0,0
-0.47475946,0.70932698,-0.20291060,255,0,0
-0.48177445,0.82625169,-0.20550585,255,0,0
-0.71382046,0.40293109,-0.18012202,255,0,0
-0.71078706,0.58551091,-0.20485604,255,0,0
-0.70422709,0.63053387,-0.20745948,255,0,0
-0.70947194,0.63314432,-0.21029735,255,0,0
-0.69581443,0.70928019,-0.20845415,255,0,0
-0.69559711,0.74945104,-0.21518442,255,0,0
-0.69244659,0.77181786,-0.20404392,255,0,0
-0.73295623,0.62865168,-0.20871253,255,0,0
-0.77819920,0.35969895,-0.16363573,255,0,0
-0.72183812,0.71357912,-0.20820872,255,0,0
-0.70181286,0.79173630,-0.18460579,255,0,0
-0.77377176,0.48299834,-0.18010178,255,0,0
-0.78058153,0.44373730,-0.18601562,255,0,0
-0.78697389,0.40427303,-0.19098058,255,0,0
-0.77382660,0.52641493,-0.18911068,255,0,0
-0.72068197,0.75710118,-0.21370307,255,0,0
-0.77290249,0.57021624,-0.19611636,255,0,0
-0.75887358,0.66271561,-0.21059248,255,0,0
-0.77179718,0.61487776,-0.20284778,255,0,0
-0.75111693,0.70319140,-0.20441398,255,0,0
-0.77010155,0.66011864,-0.20839590,255,0,0
-0.76436794,0.70281303,-0.20501335,255,0,0
-0.75191593,0.74814397,-0.21211372,255,0,0
-0.75776452,0.74520093,-0.19967794,255,0,0
-0.96877885,0.43181688,-0.19987483,255,0,0
-0.96527988,0.47288629,-0.19252723,255,0,0
-0.97584605,0.51451260,-0.20451467,255,0,0
-0.97578400,0.55586767,-0.20187134,255,0,0
-0.98565769,0.59880573,-0.21282333,255,0,0
-0.97901630,0.63939708,-0.20117363,255,0,0
-0.98755413,0.68327945,-0.21024778,255,0,0
-0.99012762,0.72640765,-0.21117227,255,0,0
-0.98677003,0.76805133,-0.20404354,255,0,0
-1.12216020,0.39220968,-0.16262649,255,0,0
-1.13545227,0.43654257,-0.17435321,255,0,0
-1.14797866,0.48179376,-0.18517512,255,0,0
-1.15241539,0.57221317,-0.18424827,255,0,0
-1.15903485,0.52785647,-0.19433117,255,0,0
-1.15293765,0.66294563,-0.17904693,255,0,0
-1.16183448,0.61919183,-0.19156340,255,0,0
-1.16735959,0.71246362,-0.19171032,255,0,0
-1.16283345,0.75765622,-0.18393031,255,0,0
-1.18783307,0.73314643,-0.21525452,255,0,0
-1.17474127,0.80856717,-0.19381036,255,0,0
-1.18946123,0.77221555,-0.21374670,255,0,0
-1.26920986,0.57533360,-0.22130634,255,0,0
