//X,Y,Z,R,G,B
0.21709138,2.61812615,-0.80332118,0,255,0
0.18949291,2.70316052,-0.79756159,0,255,0
0.18527868,2.55751228,-0.78232670,0,255,0
0.06334246,2.54334021,-0.76741040,0,255,0
-0.05656173,2.64695454,-0.75966299,0,255,0
-0.01765959,2.55164576,-0.75279421,0,255,0
0.14545301,2.49420309,-0.76195639,0,255,0
0.21823904,2.45273542,-0.76497024,0,255,0
0.14362173,2.58240962,-0.76027441,0,255,0
0.58937448,2.69736624,-0.80421233,0,255,0
0.59127671,2.54872417,-0.78742129,0,255,0
0.73757452,2.66889572,-0.80583966,0,255,0
0.41830552,2.46353674,-0.76460844,0,255,0
0.40885210,2.54611659,-0.76152545,0,255,0
0.47217113,2.48841286,-0.76296759,0,255,0
0.47552884,2.61285901,-0.76800042,0,255,0
0.47213122,2.51445079,-0.76054728,0,255,0
0.46750203,2.63835502,-0.76559687,0,255,0
0.63737810,2.69500637,-0.78202891,0,255,0
0.55855101,2.50606084,-0.76530731,0,255,0
0.63961911,2.47478747,-0.76954138,0,255,0
0.65021163,2.51005149,-0.77223784,0,255,0
0.55290455,2.40222383,-0.75677001,0,255,0
0.64480650,2.64510775,-0.77676100,0,255,0
0.60835117,2.45034814,-0.76110637,0,255,0
0.56114346,2.60581899,-0.76458406,0,255,0
0.73481894,2.35839748,-0.76657420,0,255,0
0.63660866,2.57431507,-0.76893759,0,255,0
0.62250602,2.67829490,-0.77258867,0,255,0
0.66839457,2.60782862,-0.77235323,0,255,0
0.58615786,2.38869357,-0.75280184,0,255,0
0.58511472,2.49992085,-0.75801420,0,255,0
0.72883630,2.44480753,-0.76737863,0,255,0
0.72453505,2.53814864,-0.77131772,0,255,0
0.66950995,2.69996619,-0.77456212,0,255,0
0.95663399,2.62064314,-0.79379338,0,255,0
0.66264182,2.56890774,-0.76482117,0,255,0
0.65004623,2.62022805,-0.76630551,0,255,0
0.59059608,2.60592985,-0.76021975,0,255,0
0.65039706,2.50644541,-0.75962186,0,255,0
0.61355013,2.55058765,-0.75751251,0,255,0
0.65607220,2.44660068,-0.75575691,0,255,0
0.57692641,2.38855958,-0.74470305,0,255,0
0.66763657,2.47833133,-0.75616324,0,255,0
0.65157300,2.49032879,-0.75426006,0,255,0
0.65431452,2.62509370,-0.75687128,0,255,0
0.98361087,2.62163877,-0.77900988,0,255,0
0.94292343,2.46855426,-0.76692712,0,255,0
0.83010107,2.66586018,-0.76461273,0,255,0
0.82312709,2.54207301,-0.75652534,0,255,0
0.89869708,2.61941719,-0.76672518,0,255,0
0.89522207,2.42963266,-0.75629288,0,255,0
0.89300579,2.51492000,-0.75414997,0,255,0
0.83495790,2.35347509,-0.74046850,0,255,0
0.83080316,2.44599938,-0.74325466,0,255,0
0.82222849,2.53345418,-0.73704219,0,255,0
0.80562830,2.40152597,-0.72647429,0,255,0
-0.22604436,2.38878632,-0.79663354,0,255,0
0.64229351,2.35627222,-0.71098530,255,0,0
1.29318273,2.39535904,-0.72591937,255,0,0
1.29685068,2.55327034,-0.78384709,255,0,0
1.42351401,2.51735353,-0.75919092,255,0,0
1.30555713,2.68805480,-0.79519212,255,0,0
1.47728205,2.61063814,-0.77630961,255,0,0
1.50323844,2.61642122,-0.80007035,255,0,0
1.58389175,2.52386308,-0.80307174,255,0,0
1.58352995,2.63535166,-0.79814619,255,0,0
-2.04233503,2.31611586,-0.66031319,255,0,0
-2.08934307,2.33217192,-0.65994012,255,0,0
-2.05859971,2.46230793,-0.68771929,255,0,0
-2.20805573,2.47191596,-0.68484336,255,0,0
-2.07985377,2.62266159,-0.72013932,255,0,0
-2.26631093,2.65521550,-0.74267590,255,0,0
-1.94418216,2.24955678,-0.73054922,255,0,0
-1.94920588,2.37977481,-0.75126982,255,0,0
-1.85575819,2.49222398,-0.76620859,255,0,0
-2.02697086,2.32637453,-0.76635039,255,0,0
-1.94638944,2.50701594,-0.76417184,255,0,0
-2.02908397,2.45117760,-0.76729727,255,0,0
-2.03836489,2.58992672,-0.77500343,255,0,0
-2.20416880,2.53515649,-0.76122761,255,0,0
0.14662507,2.40645623,-0.75954336,255,0,0
0.05933046,2.43647146,-0.76792783,255,0,0
-0.00812597,2.37393022,-0.75331122,255,0,0
-0.06497454,2.35093331,-0.76080877,255,0,0
-0.07589956,2.38168550,-0.76511478,255,0,0
-0.08772562,2.36971855,-0.75757611,255,0,0
-0.07874960,2.45108032,-0.78607577,255,0,0
-0.07041350,2.47515917,-0.78586113,255,0,0
-0.08228548,2.46753263,-0.76093978,255,0,0
-0.07161339,2.49406910,-0.77891344,255,0,0
-0.13465482,2.39838529,-0.76336372,255,0,0
-0.09652589,2.50050402,-0.78025842,255,0,0
-0.10195042,2.52382350,-0.76496226,255,0,0
-0.06393974,2.59428883,-0.77559018,255,0,0
-0.07137164,2.58208609,-0.78774613,255,0,0
-0.24531640,2.27570415,-0.75514609,255,0,0
-0.08341984,2.59194016,-0.79562038,255,0,0
-0.18047224,2.45827007,-0.78556287,255,0,0
-0.09966248,2.60901856,-0.77529269,255,0,0
-0.24853763,2.38847733,-0.77432942,255,0,0
-0.25538355,2.37251449,-0.77452874,255,0,0
-0.23025942,2.48422599,-0.80395550,255,0,0
-0.17736313,2.58142757,-0.79226917,255,0,0
-0.24616367,2.47668386,-0.77395689,255,0,0
-0.10015090,2.69325614,-0.79296398,255,0,0
-0.26369619,2.45968246,-0.77768010,255,0,0
-0.24388136,2.56669402,-0.77082515,255,0,0
-0.23471229,2.58113098,-0.80746055,255,0,0
-0.27183986,2.54808307,-0.77740860,255,0,0
