//X,Y,Z,R,G,B
-0.59305084,1.29092324,-0.43412021,255,0,0
-0.58422381,1.35686791,-0.41729310,255,0,0
-0.42658010,1.32066703,-0.46852967,255,0,0
-0.28480485,1.33103025,-0.46279702,255,0,0
-0.42843470,1.50510895,-0.47958422,255,0,0
-0.28258908,1.38619661,-0.48721492,255,0,0
-0.42975354,1.55571198,-0.48514900,255,0,0
-0.62551534,1.73339307,-0.48982400,255,0,0
-0.42840225,1.60240769,-0.48056579,255,0,0
-0.28041163,1.43920124,-0.50155455,255,0,0
-0.27840099,1.48575222,-0.49891016,255,0,0
-0.44031975,1.66056037,-0.50348955,255,0,0
-0.15383510,1.34204626,-0.46263880,255,0,0
-0.43101963,1.65866041,-0.49057978,255,0,0
-0.17278703,1.37464666,-0.48002994,255,0,0
-0.13549542,1.32134140,-0.47061580,255,0,0
-0.27641833,1.53263664,-0.49482718,255,0,0
-0.19534105,1.43048191,-0.50264323,255,0,0
-0.14037415,1.36432064,-0.47261477,255,0,0
-0.10110398,1.33842945,-0.43355253,255,0,0
-0.15348011,1.40429080,-0.49177971,255,0,0
-0.43096954,1.71085644,-0.49040052,255,0,0
-0.14595881,1.41156352,-0.48253056,255,0,0
-0.19814199,1.48098266,-0.50856894,255,0,0
-0.17315036,1.45154572,-0.50318533,255,0,0
-0.27448168,1.57931542,-0.48841876,255,0,0
-0.43703380,1.73885727,-0.50749719,255,0,0
-0.15042758,1.45219958,-0.48778740,255,0,0
-0.15147191,1.45929790,-0.49000552,255,0,0
-0.20113605,1.53177822,-0.51196587,255,0,0
-0.10465474,1.41467583,-0.48455545,255,0,0
-0.15494475,1.49669993,-0.47252578,255,0,0
-0.16991946,1.51439273,-0.50184828,255,0,0
-0.08191280,1.39647281,-0.49776506,255,0,0
-0.27232134,1.63603616,-0.49681211,255,0,0
-0.14779067,1.50430667,-0.48927599,255,0,0
-0.20421503,1.58372760,-0.51457679,255,0,0
-0.16117243,1.54990089,-0.48605835,255,0,0
-0.00597226,1.33481860,-0.46158528,255,0,0
-0.10303941,1.47650015,-0.50150698,255,0,0
-0.10444463,1.48044991,-0.50073862,255,0,0
-0.08414936,1.46604216,-0.48745012,255,0,0
-0.07904475,1.45557332,-0.50588876,255,0,0
-0.14449726,1.55292726,-0.48220655,255,0,0
-0.16636482,1.57790291,-0.49833557,255,0,0
-0.27018771,1.69321895,-0.50237423,255,0,0
-0.16510375,1.59098399,-0.47320607,255,0,0
-0.20786202,1.63120580,-0.50689620,255,0,0
-0.00588818,1.38725901,-0.47897589,255,0,0
-0.09681250,1.52186275,-0.48648989,255,0,0
-0.09906492,1.54143751,-0.48453376,255,0,0
-0.01226830,1.42580390,-0.46256760,255,0,0
-0.07256868,1.50682521,-0.49784598,255,0,0
-0.14158884,1.60601175,-0.48036411,255,0,0
-0.17051969,1.64136124,-0.47558138,255,0,0
-0.00269808,1.41689861,-0.48141623,255,0,0
-0.05501471,1.49672127,-0.48953742,255,0,0
-0.08148941,1.53243017,-0.49490395,255,0,0
-0.21117301,1.68419039,-0.50617778,255,0,0
-0.16259883,1.64263642,-0.49337658,255,0,0
-0.09043091,1.56699789,-0.47016808,255,0,0
0.00963194,1.43135965,-0.48668510,255,0,0
-0.02990892,1.49135196,-0.49934936,255,0,0
-0.01305882,1.47946858,-0.47596914,255,0,0
-0.06714241,1.56253636,-0.49483347,255,0,0
-0.00637041,1.48049128,-0.49506667,255,0,0
-0.21464001,1.73716843,-0.50285566,255,0,0
-0.07800705,1.58964014,-0.48640481,255,0,0
-0.05795162,1.56359863,-0.49557313,255,0,0
-0.01841770,1.52208579,-0.46499309,255,0,0
-0.09576975,1.62049735,-0.48627219,255,0,0
-0.13965386,1.67015612,-0.49251893,255,0,0
-0.17966826,1.71527123,-0.51366234,255,0,0
0.01281653,1.49184155,-0.49039534,255,0,0
-0.08778652,1.63128471,-0.48140490,255,0,0
-0.03259403,1.56399441,-0.49562159,255,0,0
-0.16025594,1.71901429,-0.49890581,255,0,0
-0.00824154,1.54060841,-0.49899641,255,0,0
-0.06281390,1.62374294,-0.49731696,255,0,0
-0.01993837,1.57736599,-0.47508198,255,0,0
-0.06049502,1.62599897,-0.49206302,255,0,0
-0.07472250,1.65215874,-0.48221138,255,0,0
-0.13693303,1.72978854,-0.49418294,255,0,0
0.01555336,1.54743803,-0.48381019,255,0,0
0.12170246,1.39328265,-0.48510557,255,0,0
-0.00713935,1.59213710,-0.48699093,255,0,0
-0.09208658,1.70058477,-0.48501971,255,0,0
-0.08471031,1.69677830,-0.49033433,255,0,0
-0.02308483,1.62955761,-0.47654584,255,0,0
-0.03619986,1.64948392,-0.50251245,255,0,0
-0.06297738,1.68964028,-0.48711815,255,0,0
-0.05960160,1.69154942,-0.50568587,255,0,0
0.12268556,1.44118989,-0.49341106,255,0,0
-0.02804808,1.67699075,-0.46798885,255,0,0
0.01891593,1.61411738,-0.48981026,255,0,0
-0.07192684,1.72686398,-0.48953852,255,0,0
-0.00821338,1.65353608,-0.48705617,255,0,0
0.12167053,1.48282194,-0.48485249,255,0,0
0.13785365,1.47904408,-0.50272787,255,0,0
-0.03899013,1.73009694,-0.49958211,255,0,0
-0.06597413,1.76499033,-0.49272656,255,0,0
0.12233235,1.53236973,-0.49116123,255,0,0
0.02188376,1.67692089,-0.48707005,255,0,0
-0.01148233,1.72643721,-0.49919277,255,0,0
0.12173751,1.57804978,-0.48707122,255,0,0
0.14099605,1.55387008,-0.51189631,255,0,0
0.12102279,1.62448394,-0.48245451,255,0,0
0.02545628,1.75119543,-0.49518085,255,0,0
0.14279485,1.61848307,-0.50444019,255,0,0
0.12264799,1.68445814,-0.49861452,255,0,0
0.14494240,1.68951488,-0.50144851,255,0,0
0.12142625,1.73196697,-0.49076155,255,0,0
0.22120728,1.58710206,-0.52218270,255,0,0
0.21654639,1.65295768,-0.51518911,255,0,0
0.14854038,1.77963603,-0.51558685,255,0,0
0.21306278,1.73060322,-0.51848769,255,0,0
0.20982714,1.81479120,-0.52463818,255,0,0
-0.74493402,1.53607845,-0.45686626,255,0,0
-0.78636336,1.63886595,-0.48120719,255,0,0
-0.76461118,1.64989710,-0.47327724,255,0,0
-0.97660738,1.64229715,-0.47972172,255,0,0
-1.11248350,1.60661507,-0.48778468,255,0,0
-1.45894825,1.40582120,-0.47018844,255,0,0
-0.99043584,1.70672071,-0.49109805,255,0,0
-1.12277484,1.67212677,-0.50327635,255,0,0
-1.46970773,1.48159432,-0.47802097,255,0,0
-1.67207050,1.30955362,-0.47733188,255,0,0
-1.65871108,1.36183786,-0.46867055,255,0,0
-1.47264862,1.55399179,-0.47763324,255,0,0
-1.47232401,1.57433379,-0.51314491,255,0,0
-1.65545595,1.41916013,-0.47072750,255,0,0
-1.62251711,1.47718287,-0.50119221,255,0,0
-1.78682292,1.31943154,-0.46518672,255,0,0
